Template,Q,QNER,QNE,QURI,RP,ANE,AURI
<ENT> در چه منطقه ای است ؟, اسلام‌آباد گرنچین در چه منطقه ای است ؟,"[('اسلام\u200cآباد', 'B_ent'), ('گرنچین', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",اسلام‌آباد گرنچین,['http://fkg.iust.ac.ir/resource/اسلام\u200cآباد_گرنچین'],ns0__location_&_ns0__district_&_ns0__part,"['بخش مرکزی شهرستان خاش', 'شهرستان خاش']","['http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_خاش', 'http://fkg.iust.ac.ir/resource/شهرستان_خاش']"
<ENT> در کجا سکونت دارد؟, دونا میلز در کجا سکونت دارد؟,"[('دونا', 'B_ent'), ('میلز', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('سکونت', 'O'), ('دارد؟', 'O')]",دونا میلز,['http://fkg.iust.ac.ir/resource/دونا_میلز'],ns0__residence,"['لس آنجلس', 'کالیفرنیا']","['http://fkg.iust.ac.ir/resource/لس_آنجلس', 'http://fkg.iust.ac.ir/resource/کالیفرنیا']"
<ENT> در چه شهری قرار دارد ؟, تنگ برکه در چه شهری قرار دارد ؟,"[('تنگ', 'B_ent'), ('برکه', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",تنگ برکه,['http://fkg.iust.ac.ir/resource/تنگ_برکه'],ns0__location_&_ns0__district_&_ns0__part,"['بخش چنار شاهیجان', 'شهرستان کازرون']","['http://fkg.iust.ac.ir/resource/بخش_چنار_شاهیجان', 'http://fkg.iust.ac.ir/resource/شهرستان_کازرون']"
<ENT> در کجا متولد شد ؟, لارنس فینک در کجا متولد شد ؟,"[('لارنس', 'B_ent'), ('فینک', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('متولد', 'O'), ('شد', 'O'), ('؟', 'O')]",لارنس فینک,['http://fkg.iust.ac.ir/resource/لارنس_فینک'],ns0__birthPlace,"['کالیفرنیا', 'لس آنجلس', 'ایالات متحده آمریکا']","['http://fkg.iust.ac.ir/resource/کالیفرنیا', 'http://fkg.iust.ac.ir/resource/لس_آنجلس', 'http://fkg.iust.ac.ir/resource/ایالات_متحده_آمریکا']"
تخصص <ENT> در چه زمینه ای بود ؟,تخصص راجر جوزف بوسکویچ در چه زمینه ای بود ؟,"[('تخصص', 'O'), ('راجر', 'B_ent'), ('جوزف', 'I_ent'), ('بوسکویچ', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('زمینه', 'O'), ('ای', 'O'), ('بود', 'O'), ('؟', 'O')]",راجر جوزف بوسکویچ,['http://fkg.iust.ac.ir/resource/راجر_جوزف_بوسکویچ'],ns0__academicDiscipline,"['اخترشناسی', 'ریاضیات', 'فلسفه طبیعی', 'دیپلماسی', 'فیزیک', 'الهیات', 'شعر']","['http://fkg.iust.ac.ir/resource/اخترشناسی', 'http://fkg.iust.ac.ir/resource/ریاضیات', 'http://fkg.iust.ac.ir/resource/فلسفه_طبیعی', 'http://fkg.iust.ac.ir/resource/دیپلماسی', 'http://fkg.iust.ac.ir/resource/فیزیک', 'http://fkg.iust.ac.ir/resource/الهیات', 'http://fkg.iust.ac.ir/resource/شعر']"
<ENT> در چه دسته ای قرار می گیرد ؟, تیتی دست‌سیاه ساحلی در چه دسته ای قرار می گیرد ؟,"[('تیتی', 'B_ent'), ('دست\u200cسیاه', 'I_ent'), ('ساحلی', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('دسته', 'O'), ('ای', 'O'), ('قرار', 'O'), ('می', 'O'), ('گیرد', 'O'), ('؟', 'O')]",تیتی دست‌سیاه ساحلی,['http://fkg.iust.ac.ir/resource/تیتی_دست\u200cسیاه_ساحلی'],ns0__order_&_ns0__family_&_ns0__genus,"['نخستی سانان', 'لخت صورتان', 'تیتی']","['http://fkg.iust.ac.ir/resource/نخستی\u200cسانان', 'http://fkg.iust.ac.ir/resource/لخت\u200cصورتان', 'http://fkg.iust.ac.ir/resource/تیتی']"
پدید آورنده ی <ENT> کیست؟,پدید آورنده ی دویدن با قیچی کیست؟,"[('پدید', 'O'), ('آورنده', 'O'), ('ی', 'O'), ('دویدن', 'B_ent'), ('با', 'I_ent'), ('قیچی', 'I_ent'), ('کیست؟', 'O')]",دویدن با قیچی,['http://fkg.iust.ac.ir/resource/دویدن_با_قیچی'],ns0__writer,['رایان مورفی  نویسنده'],['http://fkg.iust.ac.ir/resource/رایان_مورفی_(نویسنده)']
<ENT> در چه ژانری است ؟‌, گل‌خورک نواری در چه ژانری است ؟‌,"[('گل\u200cخورک', 'B_ent'), ('نواری', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('ژانری', 'O'), ('است', 'O'), ('؟\u200c', 'O')]",گل‌خورک نواری,['http://fkg.iust.ac.ir/resource/گل\u200cخورک_نواری'],ns0__genre,['گل خورک ماهی'],['http://fkg.iust.ac.ir/resource/گل\u200cخورک\u200cماهی']
زادگاه  <ENT> کجاست ؟‌,زادگاه استیون مالوری دوم کجاست ؟‌,"[('زادگاه', 'O'), ('استیون', 'B_ent'), ('مالوری', 'I_ent'), ('دوم', 'I_ent'), ('کجاست', 'O'), ('؟\u200c', 'O')]",استیون مالوری دوم,['http://fkg.iust.ac.ir/resource/استیون_مالوری_دوم'],ns0__birthPlace,"['کارولینای جنوبی', 'کلمبیا  کارولینای جنوبی']","['http://fkg.iust.ac.ir/resource/کارولینای_جنوبی', 'http://fkg.iust.ac.ir/resource/کلمبیا،_کارولینای_جنوبی']"
<ENT> از چه گروهی است ؟, جکوی انگشت‌باریک از چه گروهی است ؟,"[('جکوی', 'B_ent'), ('انگشت\u200cباریک', 'I_ent'), ('از', 'O'), ('چه', 'O'), ('گروهی', 'O'), ('است', 'O'), ('؟', 'O')]",جکوی انگشت‌باریک,['http://fkg.iust.ac.ir/resource/جکوی_انگشت\u200cباریک'],ns0__order_&_ns0__family_&_ns0__genus,"['پولک داران', 'مارمولک', 'جکو', 'جکوهای انگشت کج']","['http://fkg.iust.ac.ir/resource/پولک\u200cداران', 'http://fkg.iust.ac.ir/resource/مارمولک', 'http://fkg.iust.ac.ir/resource/جکو', 'http://fkg.iust.ac.ir/resource/جکوهای_انگشت\u200cکج']"
زادگاه  <ENT> کجاست ؟‌,زادگاه علی ادیانی‌راد کجاست ؟‌,"[('زادگاه', 'O'), ('علی', 'B_ent'), ('ادیانی\u200cراد', 'I_ent'), ('کجاست', 'O'), ('؟\u200c', 'O')]",علی ادیانی‌راد,['http://fkg.iust.ac.ir/resource/علی_ادیانی\u200cراد'],ns0__birthPlace,['شهرستان سوادکوه'],['http://fkg.iust.ac.ir/resource/شهرستان_سوادکوه']
<ENT> در چه شهری قرار دارد ؟, شنستق سفلی در چه شهری قرار دارد ؟,"[('شنستق', 'B_ent'), ('سفلی', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",شنستق سفلی,['http://fkg.iust.ac.ir/resource/شنستق_سفلی'],ns0__location_&_ns0__district_&_ns0__part,"['بخش خرمدشت', 'شهرستان تاکستان']","['http://fkg.iust.ac.ir/resource/بخش_خرمدشت', 'http://fkg.iust.ac.ir/resource/شهرستان_تاکستان']"
<ENT> به کدام تیره تعلق دارد؟, زیرآبروک آمریکایی به کدام تیره تعلق دارد؟,"[('زیرآبروک', 'B_ent'), ('آمریکایی', 'I_ent'), ('به', 'O'), ('کدام', 'O'), ('تیره', 'O'), ('تعلق', 'O'), ('دارد؟', 'O')]",زیرآبروک آمریکایی,['http://fkg.iust.ac.ir/resource/زیرآبروک_آمریکایی'],ns0__order_&_ns0__family_&_ns0__genus,"['گنجشک سانان', 'زیرآبروک', 'زیرآبروک']","['http://fkg.iust.ac.ir/resource/گنجشک\u200cسانان', 'http://fkg.iust.ac.ir/resource/زیرآبروک', 'http://fkg.iust.ac.ir/resource/زیرآبروک']"
<ENT> در کجا دار فانی را وداع گفته است ؟, ابن بیری در کجا دار فانی را وداع گفته است ؟,"[('ابن', 'B_ent'), ('بیری', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('دار', 'O'), ('فانی', 'O'), ('را', 'O'), ('وداع', 'O'), ('گفته', 'O'), ('است', 'O'), ('؟', 'O')]",ابن بیری,"['http://fkg.iust.ac.ir/resource/ابن_بیری_(مؤلف)', 'http://fkg.iust.ac.ir/resource/ابن_بیری']",ns0__deathPlace,"['مکه', 'مکه']","['http://fkg.iust.ac.ir/resource/مکه', 'http://fkg.iust.ac.ir/resource/مکه']"
<ENT> در چه راسته ای قرار دارد ؟, تیزشاخ کالاهاری در چه راسته ای قرار دارد ؟,"[('تیزشاخ', 'B_ent'), ('کالاهاری', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('راسته', 'O'), ('ای', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",تیزشاخ کالاهاری,['http://fkg.iust.ac.ir/resource/تیزشاخ_کالاهاری'],ns0__order_&_ns0__family_&_ns0__genus,"['جفت سم سانان', 'گاوسانان', 'تیزشاخ']","['http://fkg.iust.ac.ir/resource/جفت\u200cسم\u200cسانان', 'http://fkg.iust.ac.ir/resource/گاوسانان', 'http://fkg.iust.ac.ir/resource/تیزشاخ']"
<ENT> در کجا به دنیا امده است؟, ونسا ویللا در کجا به دنیا امده است؟,"[('ونسا', 'B_ent'), ('ویللا', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('به', 'O'), ('دنیا', 'O'), ('امده', 'O'), ('است؟', 'O')]",ونسا ویللا,['http://fkg.iust.ac.ir/resource/ونسا_ویللا'],ns0__birthPlace,"['مکزیک', 'مکزیکو سیتی']","['http://fkg.iust.ac.ir/resource/مکزیک', 'http://fkg.iust.ac.ir/resource/مکزیکو_سیتی']"
چه کسی کارگردان  <ENT> می باشد ؟,چه کسی کارگردان دود می باشد ؟,"[('چه', 'O'), ('کسی', 'O'), ('کارگردان', 'O'), ('دود', 'B_ent'), ('می', 'O'), ('باشد', 'O'), ('؟', 'O')]",دود,['http://fkg.iust.ac.ir/resource/دود_(فیلم)'],ns0__director,"['وین وانگ', 'پل استر']","['http://fkg.iust.ac.ir/resource/وین_وانگ', 'http://fkg.iust.ac.ir/resource/پل_استر']"
<ENT>  ساخت کجاست ؟, لاکهید آلتایر ساخت کجاست ؟,"[('لاکهید', 'B_ent'), ('آلتایر', 'I_ent'), ('ساخت', 'O'), ('کجاست', 'O'), ('؟', 'O')]",لاکهید آلتایر,['http://fkg.iust.ac.ir/resource/لاکهید_آلتایر'],ns0__manufacturer,['لاکهید کورپوریشن'],['http://fkg.iust.ac.ir/resource/لاکهید_کورپوریشن']
<ENT> در چه دسته ای قرار می گیرد ؟, کبوتر خاکی سینه‌سفید در چه دسته ای قرار می گیرد ؟,"[('کبوتر', 'B_ent'), ('خاکی', 'I_ent'), ('سینه\u200cسفید', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('دسته', 'O'), ('ای', 'O'), ('قرار', 'O'), ('می', 'O'), ('گیرد', 'O'), ('؟', 'O')]",کبوتر خاکی سینه‌سفید,['http://fkg.iust.ac.ir/resource/کبوتر_خاکی_سینه\u200cسفید'],ns0__order_&_ns0__family_&_ns0__genus,"['کبوتر', 'کبوتر']","['http://fkg.iust.ac.ir/resource/کبوتر', 'http://fkg.iust.ac.ir/resource/کبوتر']"
<ENT> در چه شهری قرار دارد ؟, ابوغویر در چه شهری قرار دارد ؟,"[('ابوغویر', 'B_ent'), ('در', 'O'), ('چه', 'O'), ('شهری', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",ابوغویر,['http://fkg.iust.ac.ir/resource/ابوغویر'],ns0__location_&_ns0__district_&_ns0__part,"['بخش موسیان', 'شهرستان دهلران', 'استان ایلام']","['http://fkg.iust.ac.ir/resource/بخش_موسیان', 'http://fkg.iust.ac.ir/resource/شهرستان_دهلران', 'http://fkg.iust.ac.ir/resource/استان_ایلام']"
<ENT> به کدام تیره تعلق دارد؟, جکوی انگشت‌باریک به کدام تیره تعلق دارد؟,"[('جکوی', 'B_ent'), ('انگشت\u200cباریک', 'I_ent'), ('به', 'O'), ('کدام', 'O'), ('تیره', 'O'), ('تعلق', 'O'), ('دارد؟', 'O')]",جکوی انگشت‌باریک,['http://fkg.iust.ac.ir/resource/جکوی_انگشت\u200cباریک'],ns0__order_&_ns0__family_&_ns0__genus,"['پولک داران', 'مارمولک', 'جکو', 'جکوهای انگشت کج']","['http://fkg.iust.ac.ir/resource/پولک\u200cداران', 'http://fkg.iust.ac.ir/resource/مارمولک', 'http://fkg.iust.ac.ir/resource/جکو', 'http://fkg.iust.ac.ir/resource/جکوهای_انگشت\u200cکج']"
<ENT> در کجا به دنیا امده است؟, نیکولای ریژکوف در کجا به دنیا امده است؟,"[('نیکولای', 'B_ent'), ('ریژکوف', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('به', 'O'), ('دنیا', 'O'), ('امده', 'O'), ('است؟', 'O')]",نیکولای ریژکوف,['http://fkg.iust.ac.ir/resource/نیکولای_ریژکوف'],ns0__birthPlace,"['استان دونتسک', 'جمهوری سوسیالیستی شوروی اوکراین', 'اتحاد جماهیر سوسیالیستی شوروی']","['http://fkg.iust.ac.ir/resource/استان_دونتسک', 'http://fkg.iust.ac.ir/resource/جمهوری_سوسیالیستی_شوروی_اوکراین', 'http://fkg.iust.ac.ir/resource/اتحاد_جماهیر_سوسیالیستی_شوروی']"
زادگاه  <ENT> کجاست ؟‌,زادگاه نیکولای ریژکوف کجاست ؟‌,"[('زادگاه', 'O'), ('نیکولای', 'B_ent'), ('ریژکوف', 'I_ent'), ('کجاست', 'O'), ('؟\u200c', 'O')]",نیکولای ریژکوف,['http://fkg.iust.ac.ir/resource/نیکولای_ریژکوف'],ns0__birthPlace,"['استان دونتسک', 'جمهوری سوسیالیستی شوروی اوکراین', 'اتحاد جماهیر سوسیالیستی شوروی']","['http://fkg.iust.ac.ir/resource/استان_دونتسک', 'http://fkg.iust.ac.ir/resource/جمهوری_سوسیالیستی_شوروی_اوکراین', 'http://fkg.iust.ac.ir/resource/اتحاد_جماهیر_سوسیالیستی_شوروی']"
<ENT> در کجا از دنیا رفت ؟, دنیل مسکو در کجا از دنیا رفت ؟,"[('دنیل', 'B_ent'), ('مسکو', 'I_ent'), ('در', 'O'), ('کجا', 'O'), ('از', 'O'), ('دنیا', 'O'), ('رفت', 'O'), ('؟', 'O')]",دنیل مسکو,['http://fkg.iust.ac.ir/resource/دنیل_مسکو'],ns0__deathPlace,"['دوک نشین بزرگ مسکو', 'مسکو']","['http://fkg.iust.ac.ir/resource/دوک\u200cنشین_بزرگ_مسکو', 'http://fkg.iust.ac.ir/resource/مسکو']"
<ENT> در چه منطقه ای است ؟, شقاریج علیا در چه منطقه ای است ؟,"[('شقاریج', 'B_ent'), ('علیا', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('منطقه', 'O'), ('ای', 'O'), ('است', 'O'), ('؟', 'O')]",شقاریج علیا,['http://fkg.iust.ac.ir/resource/شقاریج_علیا'],ns0__location_&_ns0__district_&_ns0__part,"['شهرستان شوشتر', 'بخش مرکزی شهرستان شوشتر']","['http://fkg.iust.ac.ir/resource/شهرستان_شوشتر', 'http://fkg.iust.ac.ir/resource/بخش_مرکزی_شهرستان_شوشتر']"
زادگاه  <ENT> کجاست ؟‌,زادگاه ابوبکر کجاست ؟‌,"[('زادگاه', 'O'), ('ابوبکر', 'B_ent'), ('کجاست', 'O'), ('؟\u200c', 'O')]",ابوبکر,['http://fkg.iust.ac.ir/resource/ابوبکر'],ns0__birthPlace,"['مکه', 'حجاز']","['http://fkg.iust.ac.ir/resource/مکه', 'http://fkg.iust.ac.ir/resource/حجاز']"
محل مرگ  <ENT>   کجاست ؟,محل مرگ ویلسون کری نیکولاس کجاست ؟,"[('محل', 'O'), ('مرگ', 'O'), ('ویلسون', 'B_ent'), ('کری', 'I_ent'), ('نیکولاس', 'I_ent'), ('کجاست', 'O'), ('؟', 'O')]",ویلسون کری نیکولاس,['http://fkg.iust.ac.ir/resource/ویلسون_کری_نیکولاس'],ns0__deathPlace,"['ویرجینیا', 'شارلوتزویل  ویرجینیا']","['http://fkg.iust.ac.ir/resource/ویرجینیا', 'http://fkg.iust.ac.ir/resource/شارلوتزویل،_ویرجینیا']"
<ENT> از چه تیره ای است؟, کبوتر چوبی خال‌خالی از چه تیره ای است؟,"[('کبوتر', 'B_ent'), ('چوبی', 'I_ent'), ('خال\u200cخالی', 'I_ent'), ('از', 'O'), ('چه', 'O'), ('تیره', 'O'), ('ای', 'O'), ('است؟', 'O')]",کبوتر چوبی خال‌خالی,['http://fkg.iust.ac.ir/resource/کبوتر_چوبی_خال\u200cخالی'],ns0__order_&_ns0__family_&_ns0__genus,"['کبوترسانان', 'کبوتر', 'کبوتر  سرده']","['http://fkg.iust.ac.ir/resource/کبوترسانان', 'http://fkg.iust.ac.ir/resource/کبوتر', 'http://fkg.iust.ac.ir/resource/کبوتر_(سرده)']"
<ENT> از چه گروهی است ؟, استرپتوکوک بوویس از چه گروهی است ؟,"[('استرپتوکوک', 'B_ent'), ('بوویس', 'I_ent'), ('از', 'O'), ('چه', 'O'), ('گروهی', 'O'), ('است', 'O'), ('؟', 'O')]",استرپتوکوک بوویس,['http://fkg.iust.ac.ir/resource/استرپتوکوک_بوویس'],ns0__order_&_ns0__family_&_ns0__genus,"['لاکتوباسیلالس', 'استرپتوکوکاسیه', 'استرپتوکوک']","['http://fkg.iust.ac.ir/resource/لاکتوباسیلالس', 'http://fkg.iust.ac.ir/resource/استرپتوکوکاسیه', 'http://fkg.iust.ac.ir/resource/استرپتوکوک']"
<ENT> از چه تیره ای است؟, اسپرسی مردآبادی از چه تیره ای است؟,"[('اسپرسی', 'B_ent'), ('مردآبادی', 'I_ent'), ('از', 'O'), ('چه', 'O'), ('تیره', 'O'), ('ای', 'O'), ('است؟', 'O')]",اسپرسی مردآبادی,['http://fkg.iust.ac.ir/resource/اسپرسی_مردآبادی'],ns0__order_&_ns0__family_&_ns0__genus,"['باقلاسانان', 'باقلاییان', 'باقالی ها', 'اسپرسی  سرده']","['http://fkg.iust.ac.ir/resource/باقلاسانان', 'http://fkg.iust.ac.ir/resource/باقلاییان', 'http://fkg.iust.ac.ir/resource/باقالی\u200cها', 'http://fkg.iust.ac.ir/resource/اسپرسی_(سرده)']"
<ENT> در چه راسته ای قرار دارد ؟, استربلوس آسپر در چه راسته ای قرار دارد ؟,"[('استربلوس', 'B_ent'), ('آسپر', 'I_ent'), ('در', 'O'), ('چه', 'O'), ('راسته', 'O'), ('ای', 'O'), ('قرار', 'O'), ('دارد', 'O'), ('؟', 'O')]",استربلوس آسپر,['http://fkg.iust.ac.ir/resource/استربلوس_آسپر'],ns0__order_&_ns0__family_&_ns0__genus,"['گل سرخ سانان', 'موراسه']","['http://fkg.iust.ac.ir/resource/گل\u200cسرخ\u200cسانان', 'http://fkg.iust.ac.ir/resource/موراسه']"
